Temperature,Humidity,Pressure,Light,Cloudiness,API_Rain,Predict_Rain
24.8,73.4,1004.8,693,91,1,0
39.8,82.4,1019.3,98,6,0,0
25.1,54.7,993.3,3316,61,0,0
39.0,71.3,1009.9,1382,5,0,0
32.8,77.0,991.3,3873,75,0,0
38.0,81.3,1015.1,1206,81,1,1
23.4,74.5,1020.5,398,82,0,0
25.8,47.2,993.6,3414,99,0,0
34.3,62.0,999.9,4008,18,0,0
32.4,87.2,1006.8,2191,87,1,1
37.6,67.5,1000.1,1498,43,1,0
26.5,71.4,991.2,913,51,1,0
36.2,89.4,1015.9,778,95,0,0
31.2,73.4,1004.2,1137,11,0,0
39.6,61.1,992.4,1541,93,0,0
27.1,84.5,1000.6,1744,97,0,0
28.0,91.0,1003.8,57,36,0,1
29.6,66.7,1018.4,57,6,1,0
31.1,69.9,1019.8,1936,35,0,0
27.0,80.7,998.4,782,58,0,0
31.4,42.6,1021.4,3644,23,0,0
24.7,94.4,1020.2,2025,17,1,0
21.6,84.5,998.7,2881,96,0,0
21.0,72.8,1024.1,1613,52,1,0
29.9,58.8,998.4,447,1,1,0
24.8,64.4,993.2,2400,61,0,0
33.0,43.4,996.3,3024,93,1,1
37.9,63.3,1020.5,1168,51,1,0
39.2,41.4,999.9,3689,22,0,0
34.3,88.1,999.3,3702,54,0,1
25.0,41.7,997.1,3223,75,0,0
23.8,65.7,997.1,407,2,0,0
33.4,55.0,1007.0,1253,81,0,0
29.3,53.6,1003.9,639,62,0,0
30.7,92.6,1001.8,3406,92,0,1
25.2,75.6,1020.7,270,63,0,0
32.0,42.2,1014.3,1017,1,0,0
33.9,82.4,992.5,65,34,1,0
37.5,56.9,1021.6,230,72,0,0
35.3,55.4,1010.1,1248,100,0,0
26.4,87.2,998.9,1967,48,0,1
33.7,96.3,1000.6,99,58,0,1
28.4,73.0,990.3,3575,51,0,0
31.9,47.3,1012.1,3958,13,0,0
38.5,44.9,1018.5,2703,77,0,0
28.5,63.2,1024.7,2008,72,0,0
33.5,60.2,1002.6,3439,87,1,1
33.7,85.2,1017.7,2984,19,1,0
34.9,53.3,1010.4,287,39,1,0
33.8,63.9,1018.5,934,93,0,0
20.1,98.3,1023.4,1373,41,0,1
35.6,72.0,1006.8,2710,87,1,1
28.6,62.3,991.1,1649,30,0,0
30.1,90.8,1019.8,2852,36,1,0
34.8,92.7,996.0,3649,32,0,1
36.6,71.5,1024.2,2004,89,0,0
20.9,86.8,1019.5,856,15,1,0
31.2,57.8,1011.8,1079,24,1,1
24.6,95.5,1020.4,2895,19,0,1
35.9,55.7,991.0,1939,50,1,0
22.7,63.0,994.4,3354,26,1,0
21.3,46.6,992.7,326,77,0,0
23.5,59.7,1001.2,3216,45,1,0
34.0,76.1,990.6,3601,83,0,0
21.9,83.7,1005.6,3052,49,1,0
38.5,99.2,1021.7,166,0,0,1
22.6,42.7,1014.8,2343,31,0,0
20.6,54.8,1003.0,470,64,0,1
35.9,46.0,1024.2,808,98,0,0
21.3,53.2,990.8,3587,39,1,0
26.5,44.5,1001.7,3943,11,1,0
32.0,51.4,1016.3,2067,63,0,0
23.3,91.7,996.3,2231,25,0,1
39.3,75.4,1006.9,960,82,0,0
33.0,94.0,1024.0,1132,18,0,0
38.9,78.9,1018.4,2630,7,0,0
36.0,78.3,1004.4,2192,21,0,0
28.3,77.9,1017.8,740,92,1,1
28.4,65.1,1012.2,1420,39,0,0
25.1,98.1,1010.0,4040,60,0,1
25.1,77.1,1004.0,1341,89,1,1
28.9,55.8,1009.2,247,77,0,0
34.0,55.7,1019.2,3284,74,0,0
38.7,97.8,1000.7,2719,36,0,1
23.8,87.5,1023.1,1080,22,0,0
34.6,74.0,1006.0,3339,81,0,0
36.0,62.6,1015.1,670,47,0,0
32.7,75.9,1010.9,1397,1,0,0
26.3,55.1,993.2,308,23,0,0
35.2,53.8,1003.4,2377,13,1,0
36.4,65.6,1017.7,3313,83,1,1
38.8,96.4,1011.9,1160,35,0,1
28.6,83.7,991.4,759,52,0,0
22.6,81.9,1021.1,347,42,0,0
24.1,68.2,991.7,587,2,0,0
22.1,68.7,998.0,1828,5,1,0
24.1,86.4,1023.2,746,91,0,0
32.5,59.7,1008.7,1664,41,1,0
21.5,78.1,998.9,2264,97,0,0
30.3,40.8,1006.0,3985,96,0,0
25.4,42.1,1020.6,1297,8,0,0
21.8,46.5,1012.8,3042,52,0,0
22.9,44.1,996.3,3850,42,0,0
26.8,63.8,1008.1,2531,62,1,0
20.3,84.9,996.4,1810,86,0,0
27.1,74.4,1011.1,625,73,0,0
20.9,77.0,1015.9,22,82,0,0
26.7,95.5,999.2,1025,43,0,1
36.5,84.0,1021.9,2826,6,0,0
20.5,86.4,993.8,2527,17,0,1
38.0,43.7,997.5,2755,83,1,1
32.3,97.1,1012.6,2047,5,0,1
34.0,53.9,999.1,3455,29,0,0
30.6,82.3,990.6,1641,38,1,0
25.9,49.3,1007.1,2422,30,0,0
20.6,68.3,1016.7,242,50,1,0
31.3,87.8,1010.0,232,79,0,0
24.3,47.0,999.0,1206,54,0,0
28.8,72.2,1022.4,4063,72,0,0
30.3,68.0,1006.4,1020,87,1,1
38.0,52.6,1001.1,1820,34,0,0
34.4,54.4,1016.8,2481,81,0,0
35.3,49.4,1023.4,458,39,0,0
27.5,74.4,1023.8,1231,1,0,0
36.3,52.6,992.6,949,86,0,0
22.8,85.1,1024.6,876,84,0,0
33.2,43.0,1015.2,1934,93,0,0
35.8,40.1,990.4,520,69,0,0
28.4,78.3,1008.8,1287,20,0,0
25.0,90.2,991.9,2857,39,1,1
37.3,91.7,1001.8,3878,38,0,1
37.6,75.2,1012.9,436,71,0,1
36.5,71.1,1019.3,1880,38,0,0
20.9,78.9,1002.2,3153,61,0,0
24.6,77.2,992.3,2004,72,1,0
25.8,65.7,990.5,2225,83,0,0
22.0,50.4,1013.9,3440,78,0,0
34.9,97.2,1024.6,388,19,0,1
26.5,50.2,1022.2,9,74,1,0
34.4,60.9,1016.2,279,14,0,0
25.6,45.6,1007.8,3681,98,0,0
31.3,74.7,1001.0,2519,95,1,1
30.2,48.6,1022.0,264,99,0,0
39.6,40.3,1007.9,2605,23,0,0
39.0,64.3,1022.6,2333,19,0,0
21.8,91.5,1020.9,796,47,0,0
22.0,63.5,1019.0,580,1,0,0
28.4,79.3,1023.8,975,44,0,0
24.8,68.3,993.1,1891,25,1,0
33.1,84.6,1021.4,1830,95,0,0
34.5,85.5,1004.0,865,8,0,1
21.1,67.7,1003.4,544,93,0,0
27.6,84.7,1000.5,3144,96,0,1
20.0,98.5,1020.4,690,55,0,1
38.7,72.1,1006.1,1157,45,1,0
25.7,49.6,1016.3,1716,15,1,0
40.0,73.2,1017.7,1354,74,0,0
25.3,84.9,1009.6,1171,67,0,0
31.2,91.3,995.2,2782,19,0,1
27.1,52.7,1002.7,4063,42,0,1
27.8,86.9,999.9,2772,52,0,1
23.2,70.0,1020.9,404,99,0,0
34.1,55.7,995.0,1510,70,0,0
22.8,50.7,999.3,2452,56,0,0
35.2,62.1,1012.1,3169,33,1,0
27.8,87.2,1022.1,92,42,1,0
21.4,98.7,1012.9,969,54,1,1
24.2,70.3,1009.0,441,17,0,1
26.5,93.0,1018.5,1635,56,0,0
20.8,56.3,1000.5,2609,68,0,0
37.3,80.4,1011.3,3249,61,0,0
37.1,40.2,1001.6,1272,8,1,0
34.4,84.8,1016.6,2398,77,0,0
38.5,41.0,1006.4,99,76,0,0
27.5,76.5,1001.9,2655,14,1,0
23.6,64.1,997.5,3343,22,1,0
32.7,55.2,1002.2,2039,33,0,0
23.2,50.0,1023.5,2126,48,1,0
34.6,96.9,1004.1,1317,20,0,1
23.2,70.0,1009.0,2229,40,1,0
35.8,58.4,1019.3,419,80,0,0
23.1,62.5,994.0,2163,0,0,0
35.2,93.6,1020.9,231,10,0,0
30.5,59.2,1008.0,960,40,0,0
23.9,59.4,1020.1,1535,42,0,0
25.3,59.0,1004.3,3062,78,1,0
39.9,61.9,998.7,3106,85,1,1
31.5,81.4,1012.4,281,58,1,1
36.4,59.2,1011.5,1002,43,0,0
22.2,72.3,990.5,1556,23,0,0
36.4,62.6,1004.5,947,40,0,0
39.2,59.6,1012.8,1089,83,1,1
32.7,40.8,1017.8,2907,68,0,0
35.9,77.8,1015.3,845,87,0,0
36.6,85.4,1018.1,3866,24,1,0
39.4,71.7,1007.6,2914,31,0,0
21.5,74.0,990.5,3517,34,0,0
20.2,55.9,992.0,22,59,1,0
20.3,47.4,1010.9,1818,38,0,0
37.9,72.7,1001.1,1995,8,1,0
34.5,75.9,1018.5,2008,49,0,0
34.1,86.0,1022.2,1806,75,1,0
21.6,54.3,1020.0,2251,4,0,0
23.7,92.5,996.1,3189,73,0,1
35.8,43.7,1010.9,3706,92,0,0
36.7,65.3,995.8,1284,77,0,0
25.2,74.1,1010.1,1754,99,0,0
32.0,98.5,994.9,2403,10,0,1
22.6,85.4,1010.0,3143,17,1,0
38.1,51.3,1023.4,511,24,0,0
33.1,56.6,1022.5,2212,70,1,0
22.5,47.7,1020.3,304,1,0,0
21.0,82.4,1022.8,2729,0,1,0
35.6,74.6,992.5,1523,77,0,0
20.3,57.0,1005.8,2240,5,0,0
32.2,97.8,1000.7,878,76,0,1
23.0,70.6,1007.9,1839,21,0,1
25.0,95.7,992.7,569,7,1,1
28.4,55.0,1020.7,3362,58,0,0
23.0,69.0,1013.3,1532,35,1,0
35.0,74.6,1017.4,3915,72,0,0
39.3,46.0,1021.5,1070,23,0,0
23.1,64.3,1010.2,3888,11,0,0
29.2,49.0,1021.9,776,93,0,0
36.2,95.5,1015.1,3103,4,0,1
37.9,87.4,993.7,2593,27,0,1
27.7,77.5,993.9,1207,51,0,0
22.8,60.8,1004.3,2195,82,1,1
38.1,57.3,1008.3,2428,38,1,0
28.7,53.3,995.7,334,27,0,0
25.0,68.1,1008.2,389,93,0,0
22.1,48.7,997.5,3878,16,0,0
27.1,91.8,1004.3,1316,76,0,0
31.0,41.7,990.2,3529,40,0,0
35.9,80.3,1000.6,2104,85,0,0
26.2,45.4,1001.5,541,80,0,0
31.0,85.7,1001.2,3237,86,0,0
29.2,93.1,996.7,440,8,0,1
22.9,96.3,1003.6,2120,76,0,1
35.6,95.4,999.9,2679,48,1,1
39.9,92.7,1008.2,626,17,1,0
31.3,45.4,998.7,1726,96,0,0
29.5,69.8,1013.6,3902,18,1,0
22.4,56.7,1013.0,1184,47,1,0
29.6,41.5,993.9,505,60,0,0
22.4,71.0,991.1,267,97,0,0
31.2,74.3,994.3,4070,89,1,1
31.5,93.6,1023.7,1674,1,0,0
21.1,87.9,1000.0,1412,45,1,1
20.6,43.1,990.1,2065,0,0,0
32.3,69.8,1024.6,3294,8,1,0
26.0,46.0,1022.4,2196,75,0,0
26.5,59.6,996.4,290,48,0,0
37.8,60.8,1009.9,229,84,0,0
36.3,82.7,1022.9,3335,34,0,0
39.3,41.2,996.2,1423,15,0,0
23.3,99.5,1013.6,1774,43,0,1
31.0,63.4,1015.3,1285,49,0,0
40.0,88.0,1011.4,3034,26,1,0
21.9,64.2,992.5,2331,36,1,0
35.0,88.1,1021.7,2526,32,0,0
24.9,56.1,1008.6,1883,16,0,0
29.4,95.4,1023.8,2634,93,0,1
37.5,85.2,1009.0,3133,97,0,0
25.3,67.1,994.2,3298,12,0,0
36.8,58.0,992.0,380,94,1,1
35.3,49.8,1007.5,1501,58,0,0
23.7,91.9,1024.0,2719,99,1,1
32.9,51.5,995.8,3454,7,0,0
20.8,79.4,1002.2,3882,78,0,0
39.6,47.6,1005.6,2307,46,0,0
30.6,41.7,1002.7,3883,64,0,0
29.7,98.5,992.2,2092,60,0,1
26.3,85.2,1014.3,3338,71,0,0
31.5,48.8,992.4,3798,75,0,0
31.7,83.1,1017.1,1686,87,1,1
21.8,60.5,1023.8,3711,61,0,0
25.8,94.2,995.5,1941,37,0,1
23.7,93.7,997.5,352,41,0,1
23.8,73.6,990.8,2901,28,0,0
28.9,76.6,1006.7,1389,69,0,0
24.8,47.0,993.2,828,59,0,0
39.4,96.9,1019.4,3854,18,0,1
30.6,58.6,992.9,3893,86,0,1
27.2,74.9,996.7,421,33,0,0
27.1,68.2,993.1,2928,66,1,0
38.5,40.0,1010.0,3684,81,1,1
24.1,56.6,1020.0,408,76,0,0
20.0,48.3,1006.8,2159,35,0,0
39.3,99.6,995.3,1100,53,1,1
26.4,54.4,996.9,1317,11,0,0
31.6,80.6,992.1,694,58,1,0
39.6,91.2,1012.2,1066,84,0,0
23.0,80.8,1017.0,3788,86,0,0
24.6,56.8,1014.1,2718,93,0,0
34.0,60.8,1010.6,3046,87,1,1
30.1,59.9,992.0,1835,4,0,0
30.8,54.0,1022.6,930,41,0,0
25.3,45.1,1002.9,178,69,0,0
35.4,96.7,1011.5,2972,97,0,1
38.7,83.9,996.9,3688,83,1,1
20.1,54.2,1014.3,317,9,0,0
39.9,80.1,1025.0,519,83,1,1
29.6,91.0,990.3,3422,15,0,1
39.9,84.8,1019.3,2371,67,0,0
37.9,93.7,994.9,2890,76,1,1
28.2,50.2,994.6,3272,4,0,0
25.4,71.2,1012.5,311,5,0,0
29.7,44.7,991.3,1105,90,0,0
33.1,58.2,996.0,1237,21,0,0
23.2,40.7,1024.9,3948,75,1,0
34.8,66.0,996.7,3054,88,0,0
36.0,55.4,996.4,2246,18,1,0
29.7,65.6,993.0,2825,53,1,1
27.7,59.1,1023.6,721,78,0,0
38.6,56.5,1002.9,3526,22,0,0
35.0,91.6,998.1,1959,72,1,1
28.2,60.9,1019.3,2767,51,0,0
26.3,59.0,1018.2,1089,48,0,1
35.5,41.1,1019.4,1339,44,0,0
21.6,95.8,1014.8,2118,4,0,1
26.4,78.7,1022.7,2013,39,0,0
30.0,55.1,992.3,556,5,0,0
23.7,79.7,1013.9,1942,10,0,0
20.7,46.9,1015.0,1016,4,0,0
22.2,57.3,1021.6,3783,55,0,0
25.0,99.9,990.9,3249,90,0,1
32.3,76.2,1008.6,3660,82,1,1
37.6,92.8,999.0,3647,30,1,1
28.2,69.7,1024.8,763,96,1,1
29.9,78.3,1010.5,2994,89,1,1
24.9,48.1,1016.4,757,72,1,0
32.6,83.3,990.4,3923,99,0,0
39.7,89.3,995.0,2231,48,1,1
30.3,42.0,996.4,969,83,0,0
20.5,80.8,1013.9,1614,63,0,0
21.3,89.5,991.4,3795,78,0,1
30.6,92.0,1014.2,1893,15,1,0
31.6,79.1,1004.6,1473,2,0,0
24.8,95.0,1000.0,1,54,1,1
27.8,55.3,992.7,3560,47,0,0
20.3,74.9,1023.7,2446,63,0,0
32.7,85.9,1016.3,3199,98,1,1
27.0,74.8,998.7,2100,22,1,0
28.7,97.9,995.7,1201,59,0,1
37.5,65.9,1016.5,1074,46,1,0
27.1,94.6,1013.8,198,38,1,0
39.5,80.8,1007.6,1876,8,0,0
30.8,61.4,1015.8,3031,24,0,0
36.1,94.5,1011.0,2069,73,1,0
20.6,51.8,1021.9,1232,56,1,0
30.3,48.6,1012.1,3718,99,0,0
29.9,64.9,990.9,1313,41,0,0
25.6,43.3,1001.4,2514,47,0,0
34.2,66.0,1003.9,2396,68,1,0
26.4,79.8,1023.8,3317,29,0,0
36.3,59.7,1009.9,203,95,0,0
30.1,84.9,1003.4,1819,66,0,0
21.8,85.8,1023.3,2424,96,0,0
20.9,59.7,1020.4,3681,38,1,1
25.5,53.4,994.5,123,81,0,0
27.7,40.1,996.0,319,75,0,0
26.7,82.5,997.3,3343,43,1,0
36.4,48.6,1021.6,3091,52,1,0
28.2,89.6,990.6,178,90,0,0
27.8,66.2,1008.3,827,85,1,1
27.6,53.4,995.6,438,30,0,0
31.2,53.6,1003.8,4029,83,0,0
39.4,53.6,1007.8,3330,77,0,0
20.5,60.6,1015.1,2228,89,1,1
29.5,75.3,1022.6,3279,78,1,0
20.6,40.9,1002.5,2444,7,0,0
32.9,99.3,1006.4,257,41,0,1
31.4,54.2,998.4,1981,99,0,0
30.4,48.5,997.0,301,19,1,0
24.2,64.2,1009.3,1288,4,0,0
28.2,47.1,1022.8,2770,51,0,0
25.2,92.0,999.1,1277,67,0,1
39.1,54.9,1003.8,787,47,0,0
29.8,63.8,1011.1,2023,55,0,0
23.4,75.6,1007.3,2836,27,0,0
26.5,83.9,994.0,1415,70,0,0
24.9,85.8,1000.9,378,31,0,1
38.1,68.3,1004.9,2606,89,0,0
26.7,89.2,992.0,2890,75,0,1
21.2,45.5,991.5,2029,40,0,0
20.9,90.3,991.2,1332,85,1,0
25.2,41.1,1017.1,562,78,1,0
31.6,46.9,993.2,2575,94,0,0
39.9,77.0,1009.7,686,49,1,0
39.3,71.0,992.5,2046,74,1,0
25.7,76.5,1017.7,1639,24,0,0
25.2,59.7,998.3,640,2,1,0
37.9,61.0,1006.6,3695,98,0,0
34.1,55.2,1019.5,2328,37,1,0
32.1,52.3,1006.8,2240,10,0,0
21.1,85.9,1008.4,3588,96,0,0
25.6,68.9,1002.9,1082,78,1,0
37.8,43.1,1022.0,236,44,1,0
33.0,47.6,1018.1,1543,7,1,0
30.7,84.8,998.8,3022,46,1,0
25.5,56.4,1009.6,2826,47,0,0
24.0,90.1,1022.6,1924,30,1,0
35.3,72.7,1024.7,1927,44,0,0
21.1,74.4,995.9,3561,32,0,0
28.0,49.2,1001.2,121,81,0,1
34.7,50.8,1008.7,1472,97,0,0
28.6,55.9,1007.9,2323,55,0,0
37.3,93.0,1007.5,59,15,0,0
36.4,89.0,1016.8,804,53,0,0
30.5,99.4,1002.4,755,14,0,1
30.5,57.3,999.7,235,6,1,0
21.3,58.3,1005.7,2922,39,1,0
31.9,78.6,1014.3,765,71,0,0
21.3,49.9,1023.0,1343,83,0,0
23.1,83.3,1022.4,434,51,0,0
38.0,66.3,1003.1,1005,61,0,0
27.9,58.5,995.2,1652,2,0,0
39.4,75.4,993.7,2640,51,1,0
39.6,97.5,997.0,2999,33,0,1
32.6,57.6,1002.6,879,91,1,1
23.7,67.3,996.2,3507,42,0,1
24.8,73.2,997.1,926,47,0,0
33.2,46.4,1011.6,2737,10,0,0
24.9,71.9,1002.0,14,4,0,0
39.3,84.6,991.3,3484,96,1,1
22.2,92.2,1013.7,1464,12,0,0
31.3,50.8,1016.3,343,77,1,0
26.3,87.9,1019.8,2355,50,1,0
34.7,79.6,993.1,3609,13,0,0
33.4,72.5,991.3,1198,40,0,0
38.4,93.6,1005.6,1573,90,1,1
26.0,75.9,1002.7,2598,26,0,0
32.6,81.8,1005.6,3254,45,0,0
20.4,90.3,1017.3,1,97,0,0
27.3,77.1,1000.8,3024,18,0,0
31.5,42.7,1021.9,1123,62,0,0
21.2,48.7,1017.8,2525,15,1,0
33.1,52.2,1003.7,3083,32,0,0
29.0,92.8,1011.2,679,6,0,0
32.6,61.2,991.2,2199,26,0,0
26.2,66.0,990.8,3008,57,0,0
24.3,87.3,1003.2,1073,28,0,1
35.9,80.0,1010.3,819,21,0,0
36.3,96.8,1002.3,2764,42,0,1
25.4,70.0,1004.9,3863,8,0,0
22.9,65.8,1016.6,3948,96,0,0
25.2,70.1,1023.2,442,22,0,0
39.4,50.5,991.5,2342,75,0,0
38.9,96.0,1003.1,1389,83,0,1
35.5,45.5,990.5,3894,6,1,0
20.3,74.5,1016.9,712,39,0,0
32.8,80.4,997.2,914,15,0,0
34.2,70.4,1000.5,930,1,0,0
39.9,55.2,1006.2,3149,88,0,0
35.4,82.9,1002.3,721,4,0,1
32.4,64.1,991.5,494,38,0,0
34.6,92.4,1022.6,3961,6,1,0
30.1,67.0,1022.5,4064,27,0,0
22.3,93.3,1019.8,3840,52,0,0
30.1,74.1,990.6,1493,50,0,0
31.3,82.7,1012.6,2933,3,0,0
21.8,73.8,994.6,1861,17,0,1
20.2,75.8,992.1,2920,72,0,0
23.3,60.6,993.8,3853,44,0,0
21.2,51.6,1022.3,826,63,1,0
28.2,73.0,1011.3,833,93,0,0
32.8,68.5,1023.3,438,85,0,0
31.7,94.6,993.9,1925,84,1,1
33.4,49.7,999.5,956,73,0,0
22.9,51.3,1001.2,4064,56,0,0
33.7,53.4,1023.4,758,44,0,0
28.2,63.5,1016.9,607,34,0,0
32.8,61.2,998.5,2038,53,0,0
38.0,93.2,1020.5,1056,13,0,0
23.2,81.0,993.8,74,7,0,0
37.9,46.2,1009.8,1835,10,1,0
37.8,94.0,1006.1,3440,44,0,0
35.8,98.8,991.8,2958,63,0,1
33.9,41.0,995.2,3035,29,0,0
36.4,49.0,1009.8,3133,26,0,0
24.3,65.2,1015.9,2819,64,1,0
21.9,93.6,1015.5,3171,58,0,0
25.9,95.6,1015.7,3840,87,0,1
37.5,50.0,1014.4,329,71,1,0
22.2,99.6,994.1,3651,63,0,1
35.8,40.9,1006.3,3406,79,0,0
26.3,42.6,1015.5,3333,9,0,0
34.4,52.5,1004.3,3008,79,0,0
31.1,79.3,996.3,3421,50,0,0
37.1,49.0,1008.0,1142,46,0,0
34.6,56.6,1016.9,3169,95,0,0
29.2,84.4,1023.2,2446,98,1,1
24.6,68.6,995.7,2290,100,0,0
30.8,56.5,1007.3,3152,83,0,0
25.7,81.4,1002.4,866,91,1,1
38.0,58.8,1009.8,2680,24,0,0
37.4,71.6,1017.8,434,89,1,0
36.1,86.0,1004.4,782,32,0,1
29.3,87.1,995.7,1544,54,0,1
23.4,67.5,1013.3,363,99,0,0
24.8,49.9,1009.3,1377,99,0,0
32.0,49.6,997.9,2039,76,1,0
32.3,78.4,999.4,32,98,0,0
36.2,69.2,1021.6,2893,10,0,0
37.0,77.9,993.9,4037,29,0,0
34.5,77.2,1021.5,1756,40,0,0
36.4,47.5,1005.5,2572,76,1,0
24.8,63.1,1018.0,597,69,0,0
23.4,99.7,1004.8,2279,47,0,1
30.5,92.9,993.4,902,21,0,1
33.0,41.4,1012.9,1040,14,0,0
39.2,67.0,1023.8,2157,28,0,0
22.6,58.9,990.4,1741,55,0,0
31.4,79.6,1010.3,1352,55,0,0
24.0,99.3,1019.0,1689,38,1,1
30.7,82.4,1007.0,3603,69,0,0
30.4,66.0,1019.1,2499,98,0,0
21.4,62.6,1004.9,191,25,0,0
23.1,47.6,1012.6,3440,60,0,0
33.1,92.8,991.7,2344,35,0,1
22.0,65.4,1002.9,716,78,1,0
25.5,53.9,1003.6,2329,48,0,0
20.8,51.8,996.8,2571,30,0,1
38.1,45.9,1002.1,2769,89,0,0
29.4,99.9,1012.7,3636,84,0,1
28.0,76.7,1016.5,1421,99,0,0
35.0,51.1,1004.9,3564,93,1,1
34.9,97.8,1007.2,1282,4,0,1
27.3,92.1,999.4,994,83,1,1
23.0,58.0,1020.5,1989,44,1,0
36.4,77.5,1007.7,714,70,1,0
29.4,70.7,1017.6,3416,63,0,0
28.3,97.0,992.4,1807,95,1,1
23.9,65.1,1020.4,3508,86,1,1
21.4,90.4,996.0,1345,62,0,1
34.2,98.3,995.1,933,71,0,1
36.2,61.6,997.4,3831,37,0,0
33.1,56.6,1015.9,3128,82,0,0
33.9,44.0,1007.4,3303,26,1,0
37.8,63.1,1004.0,3652,90,0,0
25.0,66.1,1012.0,1932,0,0,0
25.2,76.7,1017.1,100,87,0,1
37.9,47.2,1022.3,3421,51,1,0
37.4,49.3,1013.8,3900,71,0,0
38.6,74.3,1014.4,275,98,1,1
37.2,85.2,1023.6,1864,19,1,0
25.6,58.2,994.7,2180,78,0,0
36.1,85.5,1011.6,1964,74,1,0
33.4,68.8,1004.8,1041,75,0,0
21.1,72.0,997.2,2313,31,0,0
30.7,54.9,1022.3,3150,27,1,0
25.4,43.5,998.1,2118,94,0,0
20.9,87.0,1023.2,2080,30,1,0
30.8,62.7,1008.6,3910,9,0,0
27.0,81.6,990.4,158,67,0,0
23.2,97.5,994.4,1876,39,0,1
